,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
26742,Jump Shot,Jump Shot,16,82,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26743,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26744,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26745,Jump Shot,Jump Shot,108,171,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26746,Slam Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26747,Jump Shot,Jump Shot,142,127,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26748,Jump Shot,Jump Shot,1,106,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26749,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26750,Jump Shot,Jump Shot,-48,23,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26751,Alley Oop Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26752,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26753,Slam Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26754,Jump Shot,Jump Shot,163,122,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26755,Jump Shot,Jump Shot,-4,198,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26756,Jump Shot,Jump Shot,-27,85,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26757,Fadeaway Jump Shot,Jump Shot,115,13,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26758,Jump Shot,Jump Shot,70,171,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26759,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26760,Jump Shot,Jump Shot,49,144,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26761,Jump Shot,Jump Shot,163,61,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26762,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26763,Jump Shot,Jump Shot,-147,194,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
26764,Jump Shot,Jump Shot,-96,93,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26765,Jump Shot,Jump Shot,-84,122,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26766,Jump Shot,Jump Shot,150,127,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26767,Jump Shot,Jump Shot,7,93,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26768,Jump Shot,Jump Shot,49,47,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26769,Running Jump Shot,Jump Shot,1,66,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26770,Jump Shot,Jump Shot,136,215,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26771,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26772,Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26773,Jump Shot,Jump Shot,136,99,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26774,Jump Shot,Jump Shot,-42,93,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26775,Jump Shot,Jump Shot,-204,17,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26776,Jump Shot,Jump Shot,-147,122,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26777,Jump Shot,Jump Shot,-4,61,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26778,Jump Shot,Jump Shot,7,122,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26779,Jump Shot,Jump Shot,169,78,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26780,Jump Shot,Jump Shot,136,144,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26781,Jump Shot,Jump Shot,49,116,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26782,Jump Shot,Jump Shot,121,219,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26783,Jump Shot,Jump Shot,100,177,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26784,Jump Shot,Jump Shot,-27,89,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26786,Turnaround Jump Shot,Jump Shot,150,28,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26787,Jump Shot,Jump Shot,-63,17,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26788,Jump Shot,Jump Shot,163,7,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26789,Jump Shot,Jump Shot,91,13,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26790,Jump Shot,Jump Shot,-54,154,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26791,Jump Shot,Jump Shot,214,137,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26792,Jump Shot,Jump Shot,-111,127,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26793,Jump Shot,Jump Shot,-69,184,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26794,Jump Shot,Jump Shot,-75,194,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26795,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26796,Turnaround Jump Shot,Jump Shot,-111,110,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26797,Jump Shot,Jump Shot,214,127,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26798,Jump Shot,Jump Shot,129,30,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26799,Jump Shot,Jump Shot,169,30,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26800,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26801,Jump Shot,Jump Shot,142,133,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26802,Fadeaway Jump Shot,Jump Shot,70,167,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26803,Jump Shot,Jump Shot,1,70,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26804,Jump Shot,Jump Shot,228,70,0.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
26805,Jump Shot,Jump Shot,142,93,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26806,Jump Shot,Jump Shot,142,0,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26807,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26808,Jump Shot,Jump Shot,-12,257,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26809,Jump Shot,Jump Shot,28,253,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26810,Jump Shot,Jump Shot,-54,264,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26811,Jump Shot,Jump Shot,136,213,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26812,Jump Shot,Jump Shot,163,190,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26813,Jump Shot,Jump Shot,-231,57,1.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
26814,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26815,Jump Shot,Jump Shot,43,257,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26816,Jump Shot,Jump Shot,49,184,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26817,Jump Shot,Jump Shot,-96,163,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26818,Jump Shot,Jump Shot,85,173,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26819,Jump Shot,Jump Shot,-84,207,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26820,Turnaround Jump Shot,Jump Shot,-75,42,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
26821,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26822,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26823,Jump Shot,Jump Shot,-153,167,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26824,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26825,Jump Shot,Jump Shot,-48,173,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26826,Jump Shot,Jump Shot,91,19,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26827,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26828,Jump Shot,Jump Shot,150,116,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26829,Jump Shot,Jump Shot,108,241,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26830,Running Jump Shot,Jump Shot,-90,19,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26831,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26832,Jump Shot,Jump Shot,7,150,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26833,Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26834,Jump Shot,Jump Shot,43,57,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26835,Running Jump Shot,Jump Shot,91,7,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26836,Jump Shot,Jump Shot,-147,87,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26837,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26838,Turnaround Jump Shot,Jump Shot,-4,63,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26839,Jump Shot,Jump Shot,58,57,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
26840,Running Jump Shot,Jump Shot,-42,63,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26841,Jump Shot,Jump Shot,43,57,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26842,Jump Shot,Jump Shot,-111,85,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26843,Jump Shot,Jump Shot,163,13,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26844,Jump Shot,Jump Shot,115,7,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26845,Jump Shot,Jump Shot,16,192,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26846,Jump Shot,Jump Shot,142,171,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26847,Finger Roll Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26848,Jump Shot,Jump Shot,77,160,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26849,Jump Shot,Jump Shot,70,72,0.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
26850,Jump Shot,Jump Shot,199,28,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26851,Jump Shot,Jump Shot,-12,243,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26852,Jump Shot,Jump Shot,169,99,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26853,Running Jump Shot,Jump Shot,22,93,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26854,Jump Shot,Jump Shot,64,28,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26855,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26857,Jump Shot,Jump Shot,49,171,,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26858,Jump Shot,Jump Shot,91,72,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26859,Jump Shot,Jump Shot,220,137,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26860,Jump Shot,Jump Shot,142,78,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26861,Jump Shot,Jump Shot,-18,99,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26862,Jump Shot,Jump Shot,150,23,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26863,Jump Shot,Jump Shot,169,51,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26864,Running Jump Shot,Jump Shot,58,93,0.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
26865,Jump Shot,Jump Shot,-183,28,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26866,Fadeaway Jump Shot,Jump Shot,108,13,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26867,Jump Shot,Jump Shot,142,0,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26868,Jump Shot,Jump Shot,-105,72,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26869,Jump Shot,Jump Shot,-18,55,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26870,Jump Shot,Jump Shot,163,23,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26871,Reverse Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26872,Tip Shot,Tip Shot,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26873,Jump Shot,Jump Shot,-162,42,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26874,Jump Shot,Jump Shot,28,120,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26875,Turnaround Jump Shot,Jump Shot,-54,110,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26877,Jump Shot,Jump Shot,108,53,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26878,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26879,Reverse Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26880,Jump Shot,Jump Shot,142,82,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26881,Jump Shot,Jump Shot,108,150,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26883,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26884,Jump Shot,Jump Shot,43,144,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26885,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26886,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26887,Running Jump Shot,Jump Shot,91,63,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26888,Turnaround Jump Shot,Jump Shot,91,63,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26889,Jump Shot,Jump Shot,136,127,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26890,Jump Shot,Jump Shot,91,104,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26891,Jump Shot,Jump Shot,121,7,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26892,Jump Shot,Jump Shot,16,51,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26893,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26894,Jump Shot,Jump Shot,157,99,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26895,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26896,Jump Shot,Jump Shot,108,17,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26897,Jump Shot,Jump Shot,-6,53,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26898,Jump Shot,Jump Shot,0,196,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26899,Jump Shot,Jump Shot,-29,104,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26900,Jump Shot,Jump Shot,47,49,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26901,Tip Shot,Tip Shot,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26902,Jump Shot,Jump Shot,113,49,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26903,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26904,Jump Shot,Jump Shot,0,76,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26905,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26906,Jump Shot,Jump Shot,56,27,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26907,Reverse Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26908,Jump Shot,Jump Shot,-65,4,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26909,Jump Shot,Jump Shot,83,241,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26910,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26911,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26912,Jump Shot,Jump Shot,161,97,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26913,Jump Shot,Jump Shot,-65,190,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26914,Jump Shot,Jump Shot,233,4,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
26915,Jump Shot,Jump Shot,14,251,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26916,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26917,Turnaround Jump Shot,Jump Shot,-18,184,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26919,Turnaround Jump Shot,Jump Shot,85,47,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26920,Turnaround Jump Shot,Jump Shot,-69,93,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
26921,Turnaround Jump Shot,Jump Shot,-124,104,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
26922,Jump Shot,Jump Shot,150,30,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26923,Jump Shot,Jump Shot,-147,257,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
26924,Reverse Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26925,Hook Shot,Hook Shot,-4,82,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26926,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26927,Jump Shot,Jump Shot,142,219,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26928,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26929,Jump Shot,Jump Shot,-84,76,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26930,Running Jump Shot,Jump Shot,64,30,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26931,Jump Shot,Jump Shot,28,99,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26932,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26933,Jump Shot,Jump Shot,77,173,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26934,Jump Shot,Jump Shot,121,127,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26935,Turnaround Jump Shot,Jump Shot,91,7,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26936,Jump Shot,Jump Shot,-105,7,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
26937,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26938,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26939,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26940,Jump Shot,Jump Shot,16,63,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26941,Turnaround Jump Shot,Jump Shot,163,47,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26942,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26943,Jump Shot,Jump Shot,37,253,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26944,Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26946,Jump Shot,Jump Shot,16,274,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26947,Jump Shot,Jump Shot,-69,281,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26948,Driving Finger Roll Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26949,Driving Finger Roll Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26950,Jump Shot,Jump Shot,125,99,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26951,Driving Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26953,Turnaround Jump Shot,Jump Shot,58,57,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
26954,Jump Shot,Jump Shot,218,9,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26955,Jump Shot,Jump Shot,-6,148,,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
26956,Turnaround Jump Shot,Jump Shot,24,99,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26957,Turnaround Jump Shot,Jump Shot,125,15,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26958,Jump Shot,Jump Shot,108,224,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
26959,Running Jump Shot,Jump Shot,-56,57,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26960,Jump Shot,Jump Shot,191,21,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
26961,Jump Shot,Jump Shot,-132,658,0.0,Back Court(BC),Backcourt,Back Court(BC) Backcourt,0.016666666666666666
26962,Turnaround Jump Shot,Jump Shot,32,120,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26963,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26964,Jump Shot,Jump Shot,108,154,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
26965,Running Jump Shot,Jump Shot,32,91,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
26966,Jump Shot,Jump Shot,-56,236,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
26967,Jump Shot,Jump Shot,-157,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
